Date (yr-month-day),Newspaper title,Article Title,page(s),Location,Overall Portrayal,Prostitution/Sex,Crime,Poverty,Keywords
1885-01-12,The Times,Funeral of the Bishop of London,10,"St.Mary's, Whitechapel",positive,,,,"Funeral, Death, Religion, Church history"
1885-01-13,The Times,The Sugar Bounties-letters to the editor,12,"Trafalgar Hotel, Leman street, Whitechapel E.",negative,,,yes,"unemployment,labour, economy"
1885-01-15,The Times,Police,04-Mar,"Great Prescott-Street, Whitechapel",negative,,yes,,"Fraud, false identities"
1885-01-23,The Times,Police,3,"Coleman Street, Guildhall",negative,,yes,,"Fraud, forgery"
1885-02-02,The Times,Prince Edward of Wales,4,"No.86, Leman-Street",positive,,,,"Royal visit, clubs, improvement"
1885-02-04,The Times,Police,3,Whitechapel Union,negative,,yes,,Assault
1885-02-03,The Times,The Dynamite Outrages,12,No.30 Great Prescot-street,negative,,yes,,"Explosion, Tower of London, Dynamite"
1885-02-05,The Times,Police,3,"Green-Street, Whitechapel.",negative,,yes,,"Perjury, Court"
1885-02-10,The Times,The Dynamite Outrages,12,No.5 Mitre-Square,negative,,yes,,"Explosion, court case"
1885-02-20,The Times,Supreme Court of Judicature-Court of Appeal,3,Nos. 108 and 109 Whitechapel-Road,neutral,,,,"court case, property boundaries, railways"
1885-02-20,The Times,Open Spaces in London,10,St-Mary's Whitechapel,neutral,,,,"Disused burial grounds, public spaces"
1885-02-23,The Times,Open Spaces in Parliament,4,Hooper's Square,neutral,,,,"Open spaces, Corporations, taking the commons"
1885-03-03,The Times,Fatal Chase of a Burglar,11,Royal Mint-Street,negative,,yes,,"Breaking and entering, police fatality"
1885-03-07,The Times,Reported Design to Blow up a Police-Station,9,Commercial-Road Police Station,negative,,yes,,"Death threats, mysterious package"
1885-03-07,The Times,Fires,10,"King's Arms-court, Whitechapel Road;",negative,,,,Fire
1885-03-09,The Times,Mr. Goschen on the Extension of University Teaching,8,"Toynbee-hall, Commercial Street",positive,,,,"improvement, education, universities"
1885-03-10,The Times,The Middlesex Sessions,4,"High-Street, Whitechapel",positive,,yes,,Robbery
1885-03-23,The Times,Labour Representation,9,Leman-Street,positive,,,,"Politics, Working class, Conservative Party"
1885-03-23,The Times,Fires,9,Whitechapel-road,neutral,,,,Fires
1885-03-25,The Times,Police,4,209 Whitechapel Road,negative,,yes,,"Breaking and entering, assaulting an officer"
1885-03-31,The Times,Police,13,"35 Jewry-street, Aldgate",negative,,yes,,"Robbery, selling proceeds of crime"
1885-04-01,The Times,Police,13,209 Whitechapel Road,negative,,yes,,"Breaking and entering, assaulting an officer"
1885-04-08,The Times,Police,3,"Commercial-road, Buckle St",negative,,yes,yes,"Fraud, Matches"
1885-04-16,The Times,The Murder in the East-End,7,247 Whitechapel Road,negative,,yes,,"Murder, Domestic Violence, Marriage"
1885-04-18,The Times,Police,5,Worship-street,negative,,yes,,"Robbery, roughs"
1885-04-20,The Times,The Co-Operative Movement,9,Hooper-Square,positive,,,,"Guild of Co-operators. Lord Ripon, economy"
1885-04-22,The Times,Police,4,21 Back Church-lane,negative,,yes,,unlicensed sale of alcohol
1885-05-06,The Times,The Princess Louise in East London,4,Drill Hall,positive,,,yes,"Royal visit, public spaces, improvement"
1885-05-16,The Times,Metropolitan Board of Works,7,Goulston-Street,neutral,,,,"improvement, Metropolitan Board of Works"
1885-05-27,The Times,Police,3,Whitechapel-Road,negative,,yes,,"Murder, Court Trial"
1885-06-05,The Times,East London Exhibition,10,"Drill Hall, Whitechapel",positive,,,yes,"Industrial exhibition,Lord Ripon"
1885-06-11,The Times,Fatal Fires,7,"105 Oxford-street, Whitechapel",neutral,,,,"Fire, death"
1885-07-03,The Times,Revenue Returns-Letters to the editor,12,"Half-moon passage, Whitechapel",neutral,,,,"Tobacco sales, tobacco duties"
1885-07-04,The Times,Metropolitan Board of Works,10,Bell-lane,negative,,,yes,"Metropolitan Board of Works, crowded dwellings,sanitation"
1885-07-09,The Times,Mr. John Morley in Whitechapel,9,"St. Mary's Schools, Whitechapel",neutral,,,yes,"speeches, politics, religion"
1885-07-13,The Times,Hospital Saturday Fund,12,"London Hospital, Whitechapel-Road",positive,,,,"Donations, hospital, healthcare"
1885-07-17,The Times,Police,3,"42 Dock-Street, Whitechapel",negative,,yes,,Robbery
1885-07-17,The Times,A Holiday in the Country,3,"St. Mark's Vicarage, Whitechapel",neutral,,,yes,"Sick children, country excursion"
1885-07-17,The Times,The London School Board,11,Old Castle-Street,neutral,,,,"Playgrounds, Religion, Sunday observance"
1885-07-21,The Times,Open Spaces in London-Letters to the Editor,10,Whitechapel-Road,neutral,,,yes,"Open spaces, Metropolitan Public Gardens Association, improvement"
1885-07-24,The Times,Police,13,  11 Church-Lane; 16 Church-street. Spitalfields; 36 Myrtle-street,neutral,,yes,,"theft, selling of stolen goods"
1885-07-28,The Times,Whitechapel Foundation School,4,Leman-street,positive,,,,"Education, prizes, religion"
1885-07-31,The Times,Police,3,11 Church-Lane,negative,,yes,,"theft, selling of stolen goods"
1885-07-31,The Times,Children's Holiday Fund,14,St. Jude's Vicarage,positive,,,yes,"Sick children, country excursion"
1885-08-10,The Times,Police,10,"Blackhorse-yard, Whitechapel",negative,,yes,,"Animal cruelty, omnibus"
1885-08-14,The Times,Middlesex Sessions,10,Church-lane,negative,,yes,,"theft, selling of stolen goods"
1885-08-19,The Times,Inquests,6,"Pavillion Theatre, Whitechapel",negative,,,,"Actors, Drugs, death"
1885-08-21,The Times,Inquests,10,5 Whitechapel road,neutral,,,yes,"Inquest, death"
1885-08-26,The Times,Police,3,6 Brick Lane,negative,,yes,,Theft
1885-08-27,The Times,Police,10,"Jewish Girls' School, Old Castle-Street",negative,,yes,,Girls' school
1885-09-05,The Times,East-end Institute for Working Lads,8,"London Hospital, Whitechapel Road",positive,,,,"Institute for Working Lads, royal visit"
1885-09-08,The Times,Fatal Accident,8,261 Whitechapel-Road,positive,,,,"accident, drowning, rescue"
1885-09-08,The Times,Police,8,34-Leman Street,negative,,yes,,"Forgery, Russian roubles"
1885-09-11,The Times,Police,10,34-Leman Street,negative,,yes,,"Forgery, Russian roubles"
1885-09-18,The Times,Police,3,34-Leman Street,negative,,yes,,"Forgery, Russian roubles"
1885-10-05,The Times,Police,3,Commercial Road,negative,yes,yes,,"Assault, prostitute"
1885-10-05,The Times,Lord Ripon at Toynbee-Hall,7,"Toynbee-hall, Commercial-road",positive,,,,"improvement, education, universities"
1885-10-10,The Times,Police,3,Leman Street Police Station,negative,,yes,,Robbery
1885-10-15,The Times,Disestablishment- Letters to the editor,13,St. Jude's Vicarage,neutral,,,,"Patronage, Church, elections"
1885-10-19,The Times,Police,3,22 Backchurch-lane,negative,yes,yes,,"sexual assault, roughs"
1885-10-20,The Times,Police,3,"Rumford-Street, Whitechapel",negative,,yes,,"assault, costermonger"
1885-10-28,The Times,Police,3,Whitechapel-road and Baker's row,negative,,yes,,robbery
1885-10-30,The Times,Police,14,"Brunswick Buildings, Goulston Street, Whitechapel",negative,,yes,,"suspected robbery, diamonds"
1885-11-02,The Times,Royal Visit to Whitechapel,7,Working Lads' Institute,positive,,,,"Royal visit, improvement"
1885-11-06,The Times,Police,14,Worship Street; Church-lane; Whitechapel Road,negative,,yes,,assault
1885-11-07,The Times,Police,4,10 Rix-court and backchurch lane,negative,yes,,,sexual assault
1885-11-14,The Times,Middlesex Sessions,4,"Church-lane, Whitechapel",negative,yes,yes,,sexual assault
1885-11-17,The Times,Police,4,Worship Street; Whitechapel road,negative,,yes,,theft
1885-11-19,The Times,The New Working Lads' Institute Whitechapel-Letters to the Editor,14,Working Lads' Institute,positive,,,yes,"Improvement, donations"
1885-11-19,The Times,Police,14,"Henry Clayton and Sons Drapers, Whitechapel-Road",negative,,yes,,false cheques
1885-11-25,The Times,Police,16,"Old Montague Street, Whitechapel",negative,,,,"Factory Act, Inspection"
1885-11-27,The Times,Police,14,London Hospital,negative,,yes,,"elections, voter fraud"
1885-12-03,The Times,How the Irish Voted,7,"Hibernian Club @ Thomas Street, Whitechapel",neutral,,,,"Irish, elections, Hibernian Club"
1885-12-14,The Times,Police,4,"Fieldgate-street, Whitechapel",negative,,yes,,Robbery
1885-12-16,The Times,Police,4,Backchurch-lane,negative,,yes,,"""sharing out"" club, theft, beerhouse keeper"
1885-12-21,The Times,Police,4,75 Backchurch-lane,negative,,yes,yes,"Child labour, poor children,"
1885-12-24,The Times,Christmas Appeals-New Working Lads' Institute,13,New Working Lads' Institute,neutral,,,,"Donations, New Working Lads' Institute"
1885-12-30,The Times,Fires,5,264 Whitechapel-Road,neutral,,,,Fire
1885-12-30,The Times,Fire in Whitechapel,5,"Rupert street, Alse-Street",negative,,,,"Serious Fire, Metropolitan Fire Brigade, Co-Operative Society"
1885-01-01,Morning Post,The Capture of an Armed Burglar,6,"No. 52, Charlotte Street",negative,,yes,,Burglary
1885-01-01,Morning Post,Inquests,6,19 Brick Lane,negative,,,yes,"death, illness"
1885-01-01,The Fermanagh Mail and Enniskillen Chronicle,Two Children Burned to Death,10,"Old Montagu Street, Whitechapel",negative,,,,"death, fire"
1885-01-01,London Evening Standard,Police Intelligence,2,Worship Street,negative,,yes,,attempted suicide
1885-01-01,London Evening Standard,Inquests,6,19 Brick Lane,negative,,,yes,"death, illness"
1885-01-02,Morning Post,Police Intelligence,6,"62 Backchurch-lane, Whitechapel",negative,,yes,,"assault, stabbing"
1885-01-02,Morning Post,Police Intelligence,6,  Whitechapel Road,negative,,yes,,theft
1885-01-02,Chelmsford Chronicle,District News- Lambourne,3,Whitechapel Market,negative,,yes,,"theft, horse"
1885-01-03,The Irishman,English Radicals and Irish Nationalists-Letters to the Editor,12,"4 Thomas-street, Whitechapel E.",negative,,,,"politics, nationalism"
1885-01-03,Essex Newsman,County News- Horse Robbery,2,Whitechapel Market,negative,,yes,,"theft, horse"
1885-01-03,Flag of Ireland,English Radicals and Irish Nationalists-Letters to the Editor,2,"4 Thomas-street, Whitechapel E.",negative,,,,"politics, nationalism"
1885-01-04,Lloyd's Weekly Newspaper,Yesterday's Summary,12,"Commercial Road, Whitechapel",negative,,,,"fire,death"
1885-01-05,Pall Mall Gazette,The Industrial Depression in London,7,"St. Jude's, Whitechapel",neutral,,,yes,"unemployment, Rev. Barnett"
1885-01-05,London Evening Standard,The Industrial Depression in London,3,"St. Jude's, Whitechapel",neutral,,,yes,"unemployment, Rev. Barnett"
1885-01-05,St. James's Gazette,The Industrial Depression in London,11,"St. Jude's, Whitechapel",neutral,,,yes,"unemployment, Rev. Barnett"
1885-01-06,London Evening Standard,Metropolitan Distress- Letters to the Editor,3,"St. Jude's Vicarage, Commercial Street, Whitechapel East",negative,,,,"unemployment, Rev. Barnett"
1885-01-07,Pall Mall Gazette,Occasional Notes,3,Toynbee Hall,positive,,,,education
1885-01-09,Shields Daily Gazette,Forged Bank of England Notes,3,"Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-09,The Gloucestershire Echo,Notes and Comments,2,"Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-09,Edinburgh Evening Post,Extraordinary Discovery of Forged Banknotes,2,"Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-09,London Evening Standard,Strange Discovery of Forged Banknotes,3,"Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-09,Pall Mall Gazette,Strange Discovery of Forged Banknotes,10,"Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-09,St. James's Gazette,Strange Discovery of Forged Banknotes,12,"Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-09,Cornubian and Redruth Times,Want of Work in London,6,"St. Jude's, Whitechapel",neutral,,,yes,"unemployment, Rev. Barnett"
1885-01-10,Morning Post,Great Fire in the East End,5,"174a Brady Street, Whitechapel",negative,,,,fire
1885-01-10,London Evening Standard,Great Fire at the East End,3,"174a Brady Street, Whitechapel",negative,,,,fire
1885-01-10,Huddersfield Chronicle,Extraordinary Discovery of Forged Banknotes,5,"Leadenhall Market; Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-10,Buckingham Advertiser,The Industrial Depression in London,2,"Stanforth House, Upper Clapton; St. Jude's, Whitechapel",negative,,,yes,"unemployment, Rev. Barnett"
1885-01-10,Shoreditch Observer,As our Junior Member...,2,"Toynbee Hall, Whitechapel",positive,,,,"university, education"
1885-01-12,Pall Mall Gazette,"A new ""Oxford Movement""-Professor Seeley on ""Toynbee Hall""",02-Jan,"Toynbee Hall, Whitechapel",positive,,,,"university, education"
1885-01-13,Lincolnshire Chronicle,A fire attended by...,3,"Brady Street, Whitechapel",negative,,,,fire
1885-01-13,Pall Mall Gazette,"A New ""Oxford Movement""",2,"Toynbee Hall, Whitechapel",positive,,,,"education, university, religion"
1885-01-13,St. James's Gazette,The Salvation Army,11,Exeter hall; Whitechapel,neutral,yes,,yes,"charity, improvement"
1885-01-14,Morning Post,Open Spaces for the People,2,"St. Mary's, Whitechapel",neutral,,,,open spaces
1885-01-14,Yorkshire Gazette,The Salvation Army,3,Exter hall; Whitechapel,neutral,yes,,yes,"charity, improvement"
1885-01-14,St. James's Gazette,An Application of...,5,Worship Street Police Court,neutral,,,,"Elephant man, lawsuit"
1885-01-15,Morning Post,Police Intelligence,7,Thames Police Court,negative,,yes,,fraud
1885-01-15,Bath Chronicle and Weekly Gazette,The Bishop of Bedford on Novel Reading,6,"Toynbee Hall, Whitechapel",positive,,,,"university, education, literature"
1885-01-15,Banbury Advertiser,The Bishop of Bedford on Novel Reading,6,"Toynbee Hall, Whitechapel",positive,,,,"university, education, literature"
1885-01-16,Yorkshire Gazette,A Refugee from Hayti,6,"66 Leman Street, Whitechapel",negative,,yes,,fraud
1885-01-16,Yorkshire Gazette,Police Intelligence,6,"Cadell Street, Whitechapel",negative,,,,attempted suicide
1885-01-16,Cornubian and Redruth Times,Strange Discovery of Forged Banknotes,4,"Leadenhall Market; Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-16,Pall Mall Gazette,Fires in London,9,115 Old Montague Street,negative,,,,Fire
1885-01-16,Manchester Courier and Lancashire General Advertiser,Oxford Work in the East End of London,6,"Toynbee Hall, Whitechapel",positive,,,yes,"education, improvement"
1885-01-16,Chelmsford Chronicle,Destruction of Great Eastern Railway Buildings by Fire,5,"Brady Street, Whitechapel",negative,,,,fire
1885-01-16,St. James's Gazette,Children burned in fires,8,"115 Old Montague Street, Whitechapel; London Hospital",negative,,,,Fire
1885-01-17,Whitby Gazette,Strange Discovery of Forged Banknotes,3,"Leadenhall Market; Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-17,Yorkshire Gazette,General News,9,"Cadell Street, Whitechapel",negative,,,,attempted suicide
1885-01-17,Cheltenham Chronicle,Strange Discovery of Forged Banknotes,4,"Leadenhall Market; Mansell Street, Whitechapel",negative,,yes,,forgery
1885-01-18,Lloyd's Weekly Newspaper,"Fires, Yesterday",1,58 Whitechapel Road,neutral,,,,Fires
1885-01-19,Morning Post,Central Criminal Court,6,"Whitechapel Branch, London and Westminster Bank",negative,,yes,,forgery
1885-01-22,London Evening Standard,Police Intelligence,6,"  Fieldgate Street, Whitechapel",negative,,yes,,fraud
1885-01-23,London Daily News,An Indiscret Arrest,2,Whitechapel Road,negative,,yes,,forgery
1885-01-23,Pall Mall Gazette,Prince of Wales...,9,"Whittington Club and Chambers, 86 Leman street, Whitechapel",positive,,,,royal visit
1885-01-24,Bristol Mercury,Prince Edward of Wales...,5,"Whittington Club and Chambers, 86 Leman street, Whitechapel",positive,,,,royal visit
1885-01-24,Bury Free Press,Poisoned by Rum,2,Metropolitan Free Hospital,negative,,,,"inquest, drunkeness"
1885-01-24,St. James's Gazette,We understand that...,9,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-01-25,Lloyd's Weekly Newspaper,Miscellaneous Summary,2,"Wentworth Street, Whitechapel; London Hospital",neutral,,,,accident
1885-01-26,Freeman's Journal,The Explosion at the Tower of London,6,"Leman Street Police Station, Whitechapel",negative,,yes,,bombing
1885-01-26,Derby Daily Telegraph,The Tower of London,4,"Leman Street Police Station, Whitechapel",negative,,yes,,bombing
1885-01-26,Gloucester Citizen,The Terrible Dynamite Explosions,4,Bow Street Police Court; Whitechapel,negative,,yes,,"bombing, trial"
1885-01-26,Portsmouth Evening News,Prisoner before the magistrate,3,32 Scarboro Street,negative,,yes,,"bombing, trial"
1885-01-26,Nottingham Evening Post,Magisterial Proceedings To-day,3,"30 Great Prescot street, Whitechapel",negative,,yes,,"bombing, trial"
1885-01-26,Aberdeen Evening Express,Suspected Persons,2,"Leman Street Police Station, Whitechapel",negative,,yes,,"bombing, trial"
1885-01-27,Morning Post,Examination of a susepct at Bow Street,5,30 Great Preston Street,negative,,yes,,"bombing, trial"
1885-01-27,Leeds Mercury,The Prisoner before the Magistrates,8,"32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, trial"
1885-01-27,Manchester Courier and Lancashire General Advertiser,The London Explosions,8,30 Great Preston Street,negative,,yes,,"bombing, trial"
1885-01-27,Aberdeen Journal,The Arrest of a supposed Irish-American,6,"32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, trial"
1885-01-27,Western Times,The Dynamite Explosions,8,"Bow Street Police Court; 30 Great Preston Street, Whitechapel; 32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, trial"
1885-01-27,London Evening Standard,Captain Shaw's annual...,5,Clare Market,negative,,,,"fires, deaths"
1885-01-27,St. James's Gazette,The Dynamite Explosions,13,30 Great Preston Street,negative,,yes,,"bombing, trial"
1885-01-27,Aberdeen Free Press,The Man Arrested at the Tower,5,"32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, trial"
1885-01-28,Edinburgh Evening Post,The Prisoner Cunningham-His Antecedents,4,Bow Stree Police Court; Whitechapel,negative,,yes,,"bombing, trial"
1885-01-28,Portsmouth Evening News,Movements of the Prisoner- A Mysterious Brown Box,2,30 Great Prescot Street,negative,,yes,,"bombing, witnesses"
1885-01-28,Pall Mall Gazette,The Dynamite Explosions,7,30 Great Prescot Street,negative,,yes,,"bombing, witnesses"
1885-01-28,St. James's Gazette,The Prisoner Cunningham,11,30 Great Prescot Street,negative,,yes,,"bombing, witnesses"
1885-01-29,Leeds Mercury,The Prisoner Cunningham-His Lodgings in London-A mysterious brown box.,3,"32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, witnesses"
1885-01-29,Banbury Advertiser,The Prisoner before the Magistrates,2,Scarborough street,negative,,yes,,bombing
1885-01-29,Bath Chronicle and Weekly Gazette,The Dynamite Outrages in London,2,30 Great Preston Street,negative,,yes,,"bombing, witnesses"
1885-01-31,London Daily News,To-day,6,"Drill Hall, Whitechapel",neutral,,,,prizes
1885-01-31,Bury Free Press,Prisoner before the magistrate,6,Scarborough street,negative,,yes,,bombing
1885-01-31,Morning Post,Police Intelligence,3,"George Yard, Whitechapel",negative,,yes,,fraud
1885-01-31,Worcestershire Chronicle,Social Scraps,3,86 Leman street,positive,,,,royal visit
1885-01-31,Worcestershire Chronicle,Explosions at the Houses of Parliament and the Tower of London,3,30 Great Prescot Street,negative,,yes,,bombing
1885-01-31,Manchester Courier and Lancashire General Advertiser,The House of Commons after the Outrage,16,30 Great Prescot Street,negative,,yes,,bombing
1885-01-31,London Evening Standard,Whittington Club,3,"86 Leman street, Whitechapel",positive,,,yes,"royal visit, boys' club"
1885-01-31,Aberdeen Journal,Prisoner before the magistrate,6,"Leman Street Police Station, Whitechapel",negative,,yes,,bombing
1885-01-31,Beverley and East Riding Recorder,The Suspected Fenian before the Magistrate,2,"Great Alie street, Whitechapel",negative,,yes,,"bombing, testimony"
1885-01-31,Buckingham Advertiser,Prisoner Before the magistrate,6,"Great Alie street, Whitechapel",negative,,yes,,"bombing, testimony"
1885-01-31,Cardiff Times,A Suspected Dynamiter Before the Magistrates,2,"Great Alie street, Whitechapel",negative,,yes,,"bombing, testimony"
1885-01-31,Chepstow Weekly Advertiser,Prisoner Before the magistrate,2,"Great Alie street, Whitechapel",negative,,yes,,"bombing, testimony"
1885-02-01,Lloyd's Weekly Newspaper,The Prisoner at Bow-Street,1,"Scarborough street, Whitechapel",negative,,yes,,"bombing, witnesses"
1885-02-01,Lloyd's Weekly Newspaper,Saturday's Law and Police,3,"Baker's Row, Whitechapel",negative,,yes,,"theft, Salvation Army"
1885-02-01,Lloyd's Weekly Newspaper,Miscellaneous Summary,2,"Wood's Buildings, Whitechapel",neutral,,,,injury
1885-02-01,Reynolds's Newspaper,The Dynamite Conspiracy-Latest Particulars,8,Scarborough street,negative,,yes,,"bombing, box"
1885-02-01,Reynolds's Newspaper,Arrest of a Suspected Dynamiter,4,Scarborough street,negative,,yes,,bombing
1885-02-02,Morning Post,Mr. Childers and the Volunteers,3,"Drill Hall, Whitechapel",positive,,,,awards
1885-02-02,Morning Post,The entry of Prince Albert Victor...,4,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Leeds Mercury,Prince Albert Victor in Whitechapel,5,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Dundeed Advertiser,Opening of a club by Prince Albert Victor,6,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Edinburgh Evening Post,Prince Albert Victor,4,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Edinburgh Evening Post,"Mr. Childers, M.P. on the Volunteer Force",4,"Drill Hall, Whitechapel",positive,,,,awards
1885-02-02,Yorkshire Gazette,Prince Albert Victor in Whitechapel,6,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Gloucester Citizen,General Intelligence,3,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Birmingham Daily Post,Prince Albert Victor in Whitechapel,5,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,Portsmouth Evening News,The Dynamite Outrage,3,"32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, witnesses"
1885-02-02,Pall Mall Gazette,The Dynamite Outrage,8,"30 Prescot street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-02,London Evening Standard,Prince Albert Victor and the Shoeblacks,2,"86 Leman street, Whitechapel",positive,,,yes,royal visit
1885-02-02,St. James's Gazette,Prince Albert Victor in the East End,11,"86 Leman street, Whitechapel",positive,,,,royal visit
1885-02-02,St. James's Gazette,Mr. Childers on the Volunteers,13,"Drill Hall, Whitechapel",positive,,,,"awards, military"
1885-02-02,St. James's Gazette,The Dynamite Outrages,8,"30 Great Prescott Street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-02,Aberdeen Evening Express,The Dynamite Plots,3,"32 Scarborough Street, Whitechapel",negative,,yes,,"bombing, box, witnesses"
1885-02-02,The Pall Mall Gazette,"""Prince Edward in Whitechapel""",4,"86 Leman street, Whitechapel",neutral,,,yes,"Monarchy, class, political unity"
1885-02-03,Shields Daily Gazette,Our London Letter,2,"86 Leman street, Whitechapel",neutral,,,,royal visit
1885-02-03,Shields Daily Gazette,Cunningham at Bow-Street,3,"32 Scarboro street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-03,London Evening Standard,The Dynamite Outrages,2,"32 Scarboro street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-03,Pall Mall Gazette,The Dynamite Outrages,7,"Great Prescott street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-03,St. James's Gazette,The Dynamite Outrages,13,30 Great Prescott Street,negative,,yes,,"bombing, box, witnesses"
1885-02-03,Bury and Norwich Post,The Dynamite Outrages,8,30 Great Prescot street,negative,,yes,,"bombing, box, witnesses"
1885-02-03,Aberdeen Free Press,The London Explosions,5,"32 Scarborough street, Whitechapel",negative,,yes,,"bombing, box, witnesses"
1885-02-03,Belfast News-letter,The Dynamitards,5,"30 Great Prescott street, Whitechapel",negative,,yes,,"bombing, box"
1885-02-04,Edinburgh Evening News,The Dynamitards in London,2,"Leman Street Police Station, Whitechapel",negative,,yes,,"bombing, arrest"
1885-02-04,Aberdeen Journal,Another Arrest,4,"Leman Street Police Station, Whitechapel",negative,,yes,,"bombing, arrest"
1885-02-05,London Evening Standard,Police Intelligence,5,"Green Street, Whitechapel",negative,,yes,,"perjury, assault"
1885-02-05,Banbury Advertiser,Prince Albert Victor and the Shoeblacks,3,"86 Leman Street, Whitechapel",positive,,,,royal visit
1885-02-05,Banbury Advertiser,The Dynamite Outrages,5,Bow street Police Court; Whitechapel,negative,,yes,,"bombing, arrest"
1885-02-05,Bath Chronicle and Weekly Gazette,The Dynamite Outrages,5,"Great Prescott street, Whitechapel",negative,,yes,,"bombing, arrest"
1885-02-05,Bath Chronicle and Weekly Gazette,Prince Albert Victor in the East of London,6,"86 Leman Street, Whitechapel",positive,,,,royal visit
1885-02-06,Glasgow Herald,The Dynamite Outrages,10,"30 Great Prescott Street, Whitechapel",negative,,yes,,"bombing, arrest, box"
1885-02-06,Freeman's Journal,The Outrages in London,5,"30 Great Prescott Street, Whitechapel",negative,,yes,,"bombing, arrest, box"
1885-02-06,Birmingham Daily Post,News of the Day,4,"30 Prescot street, Whitechapel",negative,,yes,,"bombing, arrest, box"
1885-02-06,Bristol Mercury,The Dynamite Conspiracy,5,"30 Prescot street, Whitechapel",negative,,yes,,"bombing, arrest, box"
1885-02-07,Aberdeen Journal,The other arrests,3,Bow Street Police Court; Whitechapel,negative,,yes,,"bombing, arrest, box"
1885-02-07,Aberdeen Journal,Cunningham at the Police Court,3,"32 Scarborough street, Whitechapel",negative,,yes,,"bombing, trial"
1885-02-07,Irishman,The London Explosions,16,Great Prescott street,negative,,yes,,"bombing, arrest"
