Date (yr-month-day),Newspaper title,Article Title,page(s),Location,Overall Portrayal,Prostitution/Sex,Crime,Poverty,Keywords
1886-02-06,Aberdeen Journal,Singular Charge of Fortune Telling,8,"78 Leman street, Whitechapel",neutral,,yes,,fortune telling
1886-02-06,Illustrated Police News,Items of News,4,Whitechapel casual ward,negative,,yes,,casual ward
1886-02-06,Illustrated Police News,General News,2," 31 Osborne street, Whitechapel",neutral,,,,"bankruptcy, lawsuit"
1886-02-06,Shoreditch Observer,New Tramways,3," Commercial street, Whitechapel",neutral,,,,"construction, trams"
1886-02-06,London Daily News,Preachers for To-morrow,2,"Pavilion Theatre, Whitechapel Road (across from London Hospital)",neutral,,,,"preachers, religion"
1886-02-06,The Era,"""Jack the Giant Killer"" at the Pavilion",15,"Pavilion Theatre, Whitechapel",positive,,,,"theatre, play"
1886-02-06,The Times,Police,10,"19 Church-Lane, Whitechapel",negative,,,,"Smoke nuisance, sub-lets"
1886-02-06,Illustrated London News,The prospectus of lectures...,143,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lectures, education"
1886-02-07,Lloyd's Weekly Newspaper,Fires in the Metropolis,2,"79 Wentworth street, Whitechapel",neutral,,,,fire
1886-02-08,Hartlepool Northern Daily Mail,A Wife Stabbed to Death,4,"Casson street, Whitechapel",negative,,yes,,murder
1886-02-09,London Evening Standard,Police Intelligence,6,"Casson street, Whitechapel",negative,,yes,,murder
1886-02-09,Aberdeen Free Press,Brutal Murder in London,5,"Casson street, Whitechapel",negative,,yes,,murder
1886-02-09,Aberdeen Journal,Wife Murder in London,2,"Casson street, Whitechapel",negative,,yes,,murder
1886-02-09,The Times,Police,4,"Carson Street, Whitechapel",negative,,yes,,"Murder, Domestic Violence"
1886-02-11,Birmingham Daily Post,The Alleged Murder at Mile End,8,"Cable Street, Whitechapel",negative,,yes,,"murder, domestic abuse"
1886-02-11,Pall Mall Gazette,Yesterday's Panic,7,"Commercial Road, Whitechapel",negative,,yes,,"police incompetence, rioting, thieves"
1886-02-11,Glasgow Herald,The Riots in London,5,"Commercial Road, Whitechapel",negative,,yes,,"police incompetence, rioting, thieves"
1886-02-11,The Times,Riots in London,6,Commercial Road,negative,,yes,,working class
1886-02-13,The Star,Investigations into the East End Distress and one of the results,2,Leman Street Police Court,negative,,yes,yes,"robbery, poverty"
1886-02-13,Shoreditch Observer,Hebrew Christians Gathering,3,"Mission Hall, Old Montague Street, Whitechapel",positive,,,,religion
1886-02-13,Morning Post,A Waif,2,"Commercial street, Whitechapel",negative,,,yes,"abandonment, girl"
1886-02-14,Lloyd's Weekly Newspaper,Alleged Wife Murder,4,"Casson street, Whitechapel",negative,,yes,,murder
1886-02-15,Morning Post,Lord Wolsely in Whitechapel,2,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,lecture
1886-02-15,St. James's Gazette,Lord Wolsely in East London,11,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, nationalism"
1886-02-16,The Times,The Mansion-House relief fund-Letters to the Editor,8,"St. Jude's Vicarage, Commercial road, Whitechapel",negative,,,yes,"Relief fund, poverty"
1886-02-19,Aberdeen Evening Express,Alleged Bank Note Forgery,3,"Old Montagu street, Whitechapel",negative,,yes,yes,"forgery, fraud"
1886-02-19,Cornubian and Redruth Times,Lord Wolsely on the Soudan,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, nationalism"
1886-02-20,Morning Post,Fictitious Bank Notes,3,"13 Queen Street, Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-20,London Daily News,Alleged Frauds on the Bank of England,6,"13 Queen Street, Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-20,Aberdeen Free Press,Counterfeit Bank of England Notes,7,"  Church Lane, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-20,Aberdeen Journal,Alleged Bank Note Forgery,5,"  Church Lane, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-20,The Times,Police,11,"  Church-lane, Whitechapel",negative,,yes,,Forgery
1886-02-20,London Evening Standard,Police Intelligence,4,"Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-20,Essex Standard,An Appeal-Letters to the Editor,8,"London Hospital, Whitechapel road E.",positive,,,,"charity, donations"
1886-02-20,London Daily News,Preachers for To-morrow,2,"Pavilion Theatre, Whitechapel",neutral,,,,"religion, preaching"
1886-02-24,London Daily News,Church Reform Conference,6," St. Jude's, Whitechapel",neutral,,,,"religion, church reform"
1886-02-25,London Evening Standard,A Reformed National Church,3,"St. Jude's, Whitechapel",neutral,,,,"religion, church reform"
1886-02-25,London Daily News,The Unemployed,6,"George yard mission, Whitechapel",negative,,,yes,"unemployment, relief"
1886-02-25,The Times,Church Reform,6,"St. Jude's Vicarage, Whitechapel",neutral,,,,"Church, Church of England, Rev. S. Barnett"
1886-02-27,London Daily News,The Police Courts,3,"13 Queen Street, Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-27,London Evening Standard,Police Intelligence,3,"  Ellen street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-02-27,The Times,Police,5,"  Union Flag Pub, Union Street, Whitechapel",negative,,yes,,Forgery
1886-02-27,Morning Post,Law Intelligence,3,"Gower-wealk schools, Lambeth street, Whitechapel",neutral,,,,"construction, lawsuit"
1886-02-28,Lloyd's Weekly Newspaper,Yesterday's Summary,12,"24 Wentworth street, Whitechapel",neutral,,,,"injury, accident"
1886-02-28,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,72 Whitechapel Road,neutral,,,,fire
1886-03-02,The Times,Police,3,  Whitechapel Road,negative,,yes,,Robbery
1886-03-02,Machester Courier and Lancashire General Advertiser,Revolutionists in England,3,"Princess square, Whitechapel",neutral,,,,"socialists, anarchists"
1886-03-03,Pall Mall Gazette,Occasional Notes,3,"Princess square, Whitechapel",negative,,,,"socialists, anarchists"
1886-03-04,Ipswich Journal,Our London Correspondent,2,"St. Jude's Vicarage, Whitechapel",positive,,,yes,"improvement, Rev Barnett"
1886-03-04,Daily News,"""Whitechapel Liberal and Radical Association"" ",3,"St. Mary's School, Whitechapel",positive,,,,"Politics, London, Irish"
1886-03-06,London Evening Standard,Police Intelligence,6,"Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-03-06,London Daily News,The Police Courts,6,"Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-03-06,London Daily News,Preachers for To-morrow,6,"Commercial street, Whitechapel; Pavilion Theatre, Whitechapel",neutral,,,,"religion, preaching"
1886-03-07,Lloyd's Weekly Newspaper,The Alleged Fraud on the Bank of England,2,"Old Montagu street, Whitechapel",negative,,yes,,"forgery, fraud"
1886-03-07,Lloyd's Weekly Newspaper,Yesterday's Law ,12,Whitechapel Road,negative,,yes,,"gambling, fraud"
1886-03-08,The Times,Police,4,Whitechapel Road,negative,,yes,,"lottery, fraud"
1886-03-09,London Evening Standard,Police Intelligence,3,  Whitechapel Road,negative,,yes,,"robbery, assault"
1886-03-12,Gloucestershire Echo,Sad Case of Desertion,3,"Great Prescott street, Whitechapel",negative,,yes,,"abandonment, girl"
1886-03-12,St. James's Gazette,The Mansion House Fund for the Unemployed,10,"St. Jude's Vicarage, Whitechapel",negative,,,,"Rev. Barnett, Unemployed"
1886-03-13,Cheltenham Chronicle,Sad Case of Deserton,5,"Great Prescott street, Whitechapel",negative,,yes,,"abandonment, girl"
1886-03-13,Illustrated Police News,Cutting and Wounding,4,"  Royal Mint Street and Leman street, Whitechapel",negative,,yes,,assault
1886-03-13,Illustrated Police News,Items of News,4,  Whitechapel Road,negative,,yes,,"robbery, assault"
1886-03-13,London Daily News,Fire at Whitechapel,3,"55 New Road, Whitechapel",neutral,,,,fire
1886-03-13,Morning Post,Fire at Whitechapel,3,"55 New Road, Whitechapel",neutral,,,,fire
1886-03-14,Lloyd's Weekly Newspaper,The City-Road Murder,4,"Casson street, Whitechapel",negative,,yes,,"murder, trial"
1886-03-15,The Times,The Unemployed ,7,"Trafalgar Coffee Hotel, Leman-Street, Whitechapel",neutral,,,yes,"Unemployed, Public Works"
1886-03-17,Pall Mall Gazette,The Supplicant to the Queen,14,  Whitechapel Union,neutral,,,,"India Office, Hindoo, Whitechapel Guardians"
1886-03-17,Gloucestershire Echo,The Supplicant to the Queen,3,  Whitechapel Union,neutral,,,,"India Office, Hindoo, Whitechapel Guardians"
1886-03-18,Banbury Advertiser,The Old Hindu's Story,2,  Whitechapel Union,neutral,,,,"India Office, Hindoo, Whitechapel Guardians"
1886-03-19,Morning Post,Highway Robberies,7,  Whitechapel Road,neutral,,yes,,"robbery, assault"
1886-03-20,Liverpool Mercury,Our London Correspondent,5,"St. Mary's, Whitechapel",positive,,,,"religion, bishop"
1886-03-20,Pall Mall Gazette,The Rev. Geroge Wyndham...,9,"St. Mary's, Whitechapel",neutral,,,,"religion, bishop"
1886-03-21,Lloyd's Weekly Newspaper,A Hebrew Child Burnt to Death,12,"London Hospital, Whitechapel road E.",neutral,,,,"death, accident"
1886-03-21,Lloyd's Weekly Newspaper,Death from Scalds,12,"London Hospital, Whitechapel road E.",neutral,,,,"death, accident"
1886-03-22,The Times,Police,3, Whitechapel Branch of the London and Westminster Bank,negative,,yes,,Robbery
1886-03-22,Morning Post,With the view of...,5,"Drill Hall, Whitechapel Road",neutral,,,,fundraising
1886-03-22,London Daily News,The Unemployed,6,"The Trafalgar, Leman street, Whitechapel",negative,,,,"unemployed, meeting, sugar industry"
1886-03-25,London Evening Standard,Police Intelligence,6,"Newcastle street, Whitechapel",negative,,yes,,"guns, theft"
1886-03-25,Morning Post,Arrangements for this Day,5,"Drill Hall, Whitechapel Road",neutral,,,,"fundraising, religion"
1886-03-25,Pall Mall Gazette,Church Reform,14,"St. Jude's Vicarage, Whitechapel",neutral,,,,"religion, church reform"
1886-03-26,The Times,Police,4,"  Bedford-Street, Whitechapel",negative,,yes,,Robbery
1886-03-26,London Daily News,The London Hospital,3,"Drill Hall of 2d Tower Hamlets Rifle Volunteers, Whitechapel Rd",positive,,,,fundraiser
1886-03-26,Aberdeen Journal,Rev. Dr. Knight Bruce was...,6,"St. Mary's Church, Whitechapel",neutral,,,,religion
1886-03-26,The Times,Consecration of a Bishop-Whitechapel Parish,10,Whitechapel Parish Church,neutral,,,,"Consecration, Bishops, Archbishop of Canterbury"
1886-03-27,Shoreditch Observer,Special Religious Service for the People at the Pavilion,3,"Pavilion Theatre, Whitechapel",neutral,,,,"religion, preaching"
1886-03-27,Illustrated London News,The Church,321,"St. Mary, Whitechapel",neutral,,,,religion
1886-03-27,Berkshire Chronicle,Consecration in the East End of London,8,"St. Mary's Church, Whitechapel",positive,,,,religion
1886-03-28,Lloyd's Weekly Newspaper,Leaving the Chisel Behind,12,"20 Great Prescott street, Whitechapel",negative,,yes,,theft
1886-03-28,Lloyd's Weekly Newspaper,Fires Yesterday,1,144 Whitechapel Road,neutral,,,,fire
1886-03-29,London Daily News,Mrs. Henry Fawcett...,5,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"lecture, women"
1886-03-30,Pall Mall Gazette,Conference on University Extension,10,"Toynbee Hall, 28 Commercial street, Whitechapel",neutral,,,,"University extension, education"
1886-04-01,Pall Mall Gazette,"Only a Little Match-Girl, Not 10 years old",14, Whitechapel Road,negative,yes,yes,,"sexual assault, kidnapping"
1886-04-02,Aberdeen Evening Express,A Match Girl's Story,, Whitechapel Road,negative,yes,yes,,"sexual assault, kidnapping"
1886-04-03,Illustrated Police News,Disastrous Fires,3,144 Whitechapel Road,neutral,,,,fire
1886-04-03,Illustrated London News,The Church,353,"St. Mary, Whitechapel",neutral,,,,religion
1886-04-03,Whitby Gazette,Skilled Labour by Pauper,2,Whitechapel Union,positive,,,yes,"paupers, unemployed, Whitechapel Union"
1886-04-04,Reynolds's Newspaper,The Police Courts,8,139 Whitechapel Road,negative,,yes,,"fraud, impersonation, drinking"
1886-04-04,Lloyd's Weekly Newspaper,Police Intelligence,4,139 Whitechapel Road,negative,,yes,,"fraud, impersonation, drinking"
1886-04-05,Bristol Mercury,Church Work,6,"St. Jude's, Commercial Road, Whitechapel",negative,,,yes,"religion, art, Rev. Barnett"
1886-04-07,Suffolk and Essex Free Press,How to Feed the People,5,London Hospital,neutral,,,yes,"charity, hunger"
1886-04-08,London Evening Standard,Police Intelligence,3,Whitechapel Road,negative,yes,yes,,"sexual assault, kidnapping"
1886-04-08,The Times,Police,13,"Newcastle-Street, Whitechapel",negative,,yes,,"Theft, guns, false identities"
1886-04-10,Beverley and East Riding Recorder,How to Feed the People,2,"London Hospital, Whitechapel road E.",neutral,,,yes,"charity, hunger"
1886-04-11,Reynolds's Newspaper,"Yesterday's Law, Police, etc.",8,Whitechapel Road,negative,,yes,,theft
1886-04-11,Lloyd's Weekly Newspaper,Art in Whitechapel,7,"St. Jude's School Rooms, Commercial Road",positive,,,,"art show, Rev. Barnett"
1886-04-13,London Daily News,To-day,5,"St. Jude's School Rooms, Commercial Road",neutral,,,,art show
1886-04-14,Pall Mall Gazette,Occasional Notes,3,"St. Jude's School Rooms, Commercial Road",positive,,,,art show
1886-04-14,The Times,Fine Art in the East-End,12,"St. Jude's, Whitechapel",positive,,,,Art exhibition
1886-04-14,Pall Mall Gazette,The University of East London,11,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"education, improvement"
1886-04-15,The Times,Police,3,"22 Greenfield Street, Whitechapel",negative,,yes,,"Breaking and entering, robbery"
1886-04-15,London Daily News,Art at the East End,6,"St. Jude's School Rooms, Commercial Road",positive,,,yes,"art show, improvement, education"
1886-04-16,Nottingham Evening Post,Whitechapel we are told...,2,"Toynbee Hall, 28 Commercial street, Whitechapel",positive,,,,"art show, improvement"
1886-04-24,The Times,"Messrs. Fuller, Horsley, Sons and Cassel",16,"Little-Alie Street and Rupert Street, Whitechapel",neutral,,,,sale by auction
1886-04-24,Shoreditch Observer,Monday was a...,3,"Petticoat lane, Whitechapel",neutral,,,,Politics
1886-04-24,Bristol Mercury,Our Ladies' Column,6,"St. Jude's School Rooms, Commercial Road",positive,,,yes,"art show, education, class"
1886-04-24,London Daily News,Good Friday Services,6,Whitechapel parish church,neutral,,,,religion
1886-04-25,Lloyd's Weekly Newspaper,Pigeon matches with stolen guns,4,"14 Newcastle place, Whitechapel",negative,,yes,,theft
1886-04-25,Lloyd's Weekly Newspaper,Fires in the Metropolis,3,"15 New Road, Whitechapel",neutral,,,,fire
1886-04-26,The Times,Charities-The London Hospital,11,The London Hospital,neutral,,,yes,"charity, healthcare"
1886-04-28,The Times,Police,11,"  The London Hospital, Whitechapel",negative,,yes,,theft
1886-04-28,Pall Mall Gazette,"At the East-End ""Academy""",1-2,"St. Jude's School Rooms, Commercial Road",positive,,,,art show
1886-05-01,Pall Mall Gazette,Destructive Fire at Whitechapel,8,"Messrs. Drysdayle, Dennison and Co., Dock Street, Upper East Smithfield, Whitechapel",neutral,,,,fire
1886-05-02,Reynolds's Newspaper,Fires in London,8,"Messrs. Drysdayle, Dennison and Co., Dock Street, Upper East Smithfield, Whitechapel",neutral,,,,fire
1886-05-04,The Times,Police,4,"  Settle-Street, Whitechapel",negative,,yes,,"assault, stabbing"
1886-05-05,The Times,Police,4,"27 Goodman's Yard, Whitechapel",negative,,yes,,"Theft, sale of stolen goods"
1886-05-05,Pall Mall Gazette,Occasional Notes,3,"St. Jude's School Rooms, Commercial Road",neutral,,,,"art show, statistics"
1886-05-06,The Times,Police,13,Whitechapel-Road,negative,yes,yes,,"Girl, Kidnapping, Sexual Assault"
1886-05-09,Lloyd's Weekly Newspaper,Police Intelligence,4, Whitechapel Road,negative,yes,yes,,"abduction, sexual assault"
1886-05-15,Illustrated Police News,At Thames Police Court...,4,  Whitechapel Road,negative,,yes,,"driving, drinking"
1886-05-16,Reynolds's Newspaper,Death of a Jew from Destitution,8,"Weaver's Arms Tavern, Baker's Row, Whitechapel",negative,,,yes,"inquest, death"
1886-05-16,Lloyd's Weekly Newspaper,A Jew Found Dying in the Street,12,"Weaver's Arms Tavern, Baker's Row, Whitechapel",negative,,,yes,"inquest, death"
1886-05-17,Nottingham Evening Post,Suspected of Murder,3,"Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-17,Gloucester Citizen,A Sailor Charged with Murder,4,"  Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-17,Pall Mall Gazette,Singular Capture of an Alleged Murderer,9,"  Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-17,The Times,Police,12,"  Sheppy-yard, Whitechapel",negative,,yes,,"Breaking and entering, robbery"
1886-05-18,Belfast News-letter,Singular Capture of an Alleged Murderer,5,"Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-18,The Times,Police,4,"  Sailors' Home, Well street, Whitechapel",negative,,yes,,"Murder, Peru, Sailors"
1886-05-18,Morning Post,Capture of a Supposed Murderer,3,"  Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-18,Morning Post,Arrangements for this Day,5,"Public Swimming Baths, Goulston Street, Whitechapel",neutral,,,,"opening, swimming baths"
1886-05-19,London Daily News,New Public Baths at Whitechapel,6,"Goulston Street, Whitechapel",positive,,,,"opening, swimming baths"
1886-05-20,Banbury Advertiser,Singular Charge of Murder,2,"Sailors' Home, Well street, Whitechapel",negative,,yes,,murder
1886-05-20,Bath Chronicle and Weekly Gazette,Society for Promoting Christianity Among the Jews,2,"St. Mary's, Whitechapel",neutral,,,,religion
1886-05-22,Illustrated Police News,On Sunday morning...,4,"  Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-23,Reynolds's Newspaper,Singular Charge of Murder,8,"  Sailors' Home, Wells street, Whitechapel",negative,,yes,,murder
1886-05-25,The Times,Police,4,"Sheppy-yard, Whitechapel",negative,,yes,,"Breaking and entering, robbery"
1886-05-26,London Evening Standard,Police Intelligence,3,"Well street, Whitechapel",negative,,yes,,"assault, impersonating an officer"
1886-05-29,Illustrated Police News,Middlesex Sessions,2,"Sheppy-yard, Whitechapel",negative,,yes,,burglary
1886-05-30,Lloyd's Weekly Newspaper,Yesterday's Police,12,"  8 Fieldgate street, Whitechapel",negative,,yes,,"tailor, Factory Act"
1886-05-30,Lloyd's Weekly Newspaper,Pursuing a Runaway Wife,2,"Well street, Whitechapel",negative,,yes,,"assault, impersonating an officer"
1886-05-30,Reynolds's Newspaper,Taking a good rest,8,"Weaver's Arms Tavern, Baker's Row, Whitechapel",neutral,,,yes,"inquest, death"
1886-05-31,The Times,Police,4,"  8 Fieldgate-Street, Whitechapel",negative,,,,"Factory Act violation, labour"
1886-06-05,London Daily News,Preachers for To-morrow,3,"Commercial street, Whitechapel",neutral,,,,religion
1886-06-06,Reynolds's Newspaper,Fires in London,1,"65 Backchurch lane, Whitechapel",neutral,,,,fire
1886-06-11,Morning Post,Daring Shop Robberies,3,"125 High street, Whitechapel",negative,,yes,,"breaking and entering, burglary, arson"
